"TIME","GEO","WAT_PROC","WAT_SRC","UNIT","Value","Flag and Footnotes"
"2010","Belgium","Total gross abstraction","Fresh surface water","Million cubic metres","5,340.72",""
"2010","Belgium","Total gross abstraction","Fresh surface water","Cubic metres per inhabitant","490.17",""
"2010","Belgium","Total gross abstraction","Fresh groundwater","Million cubic metres","612.40",""
"2010","Belgium","Total gross abstraction","Fresh groundwater","Cubic metres per inhabitant","56.21",""
"2010","Belgium","Water abstraction for public water supply","Fresh surface water","Million cubic metres","261.00","s"
"2010","Belgium","Water abstraction for public water supply","Fresh surface water","Cubic metres per inhabitant","23.95","s"
"2010","Belgium","Water abstraction for public water supply","Fresh groundwater","Million cubic metres","452.10",""
"2010","Belgium","Water abstraction for public water supply","Fresh groundwater","Cubic metres per inhabitant","41.49",""
"2010","Belgium","Water abstraction for agriculture","Fresh surface water","Million cubic metres",":",""
"2010","Belgium","Water abstraction for agriculture","Fresh surface water","Cubic metres per inhabitant",":",""
"2010","Belgium","Water abstraction for agriculture","Fresh groundwater","Million cubic metres",":",""
"2010","Belgium","Water abstraction for agriculture","Fresh groundwater","Cubic metres per inhabitant",":",""
"2010","Belgium","Water abstraction for agriculture - irrigation","Fresh surface water","Million cubic metres",":",""
"2010","Belgium","Water abstraction for agriculture - irrigation","Fresh surface water","Cubic metres per inhabitant",":",""
"2010","Belgium","Water abstraction for agriculture - irrigation","Fresh groundwater","Million cubic metres",":",""
"2010","Belgium","Water abstraction for agriculture - irrigation","Fresh groundwater","Cubic metres per inhabitant",":",""
"2010","Belgium","Water abstraction for agriculture - aquaculture","Fresh surface water","Million cubic metres",":",""
"2010","Belgium","Water abstraction for agriculture - aquaculture","Fresh surface water","Cubic metres per inhabitant",":",""
"2010","Belgium","Water abstraction for agriculture - aquaculture","Fresh groundwater","Million cubic metres",":",""
"2010","Belgium","Water abstraction for agriculture - aquaculture","Fresh groundwater","Cubic metres per inhabitant",":",""
"2010","Belgium","Water abstraction for mining and quarrying","Fresh surface water","Million cubic metres",":",""
"2010","Belgium","Water abstraction for mining and quarrying","Fresh surface water","Cubic metres per inhabitant",":",""
"2010","Belgium","Water abstraction for mining and quarrying","Fresh groundwater","Million cubic metres",":",""
"2010","Belgium","Water abstraction for mining and quarrying","Fresh groundwater","Cubic metres per inhabitant",":",""
"2010","Belgium","Water abstraction for manufacturing industry","Fresh surface water","Million cubic metres","1,059.00","s"
"2010","Belgium","Water abstraction for manufacturing industry","Fresh surface water","Cubic metres per inhabitant","97.20","s"
"2010","Belgium","Water abstraction for manufacturing industry","Fresh groundwater","Million cubic metres",":",""
"2010","Belgium","Water abstraction for manufacturing industry","Fresh groundwater","Cubic metres per inhabitant",":",""
"2010","Belgium","Water abstraction for manufacturing industry - cooling","Fresh surface water","Million cubic metres","824.00","s"
"2010","Belgium","Water abstraction for manufacturing industry - cooling","Fresh surface water","Cubic metres per inhabitant","75.63","s"
"2010","Belgium","Water abstraction for manufacturing industry - cooling","Fresh groundwater","Million cubic metres",":",""
"2010","Belgium","Water abstraction for manufacturing industry - cooling","Fresh groundwater","Cubic metres per inhabitant",":",""
